#! FIELDS phi projection
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654   16.935798542
   -3.018392942   11.746517516
   -2.895193230    8.398169798
   -2.771993518    6.633283460
   -2.648793806    6.061643777
   -2.525594094    6.361887360
   -2.402394382    7.302852909
   -2.279194670    8.681165443
   -2.155994958   10.114883167
   -2.032795246   11.063180900
   -1.909595535   10.953793711
   -1.786395823    9.358077052
   -1.663196111    6.415252571
   -1.539996399    3.106875038
   -1.416796687    0.668742607
   -1.293596975    0.000000000
   -1.170397263    1.496128620
   -1.047197551    5.000419001
   -0.923997839    9.855130025
   -0.800798127   15.291782237
   -0.677598415   20.948554267
   -0.554398704   26.621705060
   -0.431198992   31.740264636
   -0.307999280   35.641898942
   -0.184799568   38.045062731
   -0.061599856   38.923516212
    0.061599856   38.306458017
    0.184799568   36.227687980
    0.307999280   32.704761677
    0.431198992   27.818092361
    0.554398704   21.864373709
    0.677598415   15.456431456
    0.800798127    9.551396504
    0.923997839    5.334623549
    1.047197551    3.881752893
    1.170397263    5.775185091
    1.293596975   10.895389078
    1.416796687   18.513243926
    1.539996399   27.592950827
    1.663196111   37.032865943
    1.786395823   45.800475747
    1.909595535   53.027592633
    2.032795246   58.163968741
    2.155994958   61.031182486
    2.279194670   61.558643674
    2.402394382   59.583972742
    2.525594094   55.114326798
    2.648793806   48.552311960
    2.771993518   40.572825170
    2.895193230   32.023815575
    3.018392942   23.868220481
