#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  51
#! SET periodic_psi true
   -3.141592654   -3.141592654  -92.106041076  -42.467146777   18.494143716
   -3.018392942   -3.141592654  -96.635249767  -31.056112434   17.851330182
   -2.895193230   -3.141592654  -99.793652590  -20.265018378   16.732177700
   -2.771993518   -3.141592654 -101.692687816  -10.811239193   15.676938269
   -2.648793806   -3.141592654 -102.498079397   -2.535612285   15.599327499
   -2.525594094   -3.141592654 -102.351242458    4.729850586   16.473159200
   -2.402394382   -3.141592654 -101.388651249   10.522887019   17.825395335
   -2.279194670   -3.141592654  -99.819921696   14.666755884   18.775368433
   -2.155994958   -3.141592654  -97.880625611   16.284371035   18.790313144
   -2.032795246   -3.141592654  -95.943207082   14.822467266   18.379249286
   -1.909595535   -3.141592654  -94.354909292   10.779891778   17.769890737
   -1.786395823   -3.141592654  -93.347643197    5.658423465   17.534245032
   -1.663196111   -3.141592654  -92.895421451    2.127031044   18.299420806
   -1.539996399   -3.141592654  -92.704832017    1.636435185   20.246791364
   -1.416796687   -3.141592654  -92.306265060    5.643106780   22.729748299
   -1.293596975   -3.141592654  -91.161847400   13.729877016   26.274598364
   -1.170397263   -3.141592654  -88.786910707   25.421451935   31.047115998
   -1.047197551   -3.141592654  -84.795135323   39.651549568   36.650166489
   -0.923997839   -3.141592654  -78.963012629   55.066609262   42.705946705
   -0.800798127   -3.141592654  -71.299170696   68.956835796   48.456196020
   -0.677598415   -3.141592654  -62.120949156   79.200585454   52.663306941
   -0.554398704   -3.141592654  -52.047051366   83.306279276   54.057120276
   -0.431198992   -3.141592654  -41.943929585   79.340997535   51.522949466
   -0.307999280   -3.141592654  -32.853225525   66.852328304   44.952376572
   -0.184799568   -3.141592654  -25.798053463   46.400697108   34.760155737
   -0.061599856   -3.141592654  -21.637907600   20.322319501   22.313795038
    0.061599856   -3.141592654  -20.902382903   -8.577861777    9.093419891
    0.184799568   -3.141592654  -23.702291060  -36.389007236   -3.185109076
    0.307999280   -3.141592654  -29.682448250  -59.549371172  -13.426043547
    0.431198992   -3.141592654  -38.060779612  -75.065940848  -20.480901129
    0.554398704   -3.141592654  -47.764339830  -80.681250113  -23.920385892
    0.677598415   -3.141592654  -57.473648265  -75.101896567  -23.863639393
    0.800798127   -3.141592654  -65.842974383  -59.147180513  -20.784661948
    0.923997839   -3.141592654  -71.734047128  -35.606617570  -15.979254445
    1.047197551   -3.141592654  -74.519572896   -9.654735183  -10.956234975
    1.170397263   -3.141592654  -74.224204748   13.573363091   -6.945283014
    1.293596975   -3.141592654  -71.446763125   30.257600523   -4.755032444
    1.416796687   -3.141592654  -67.070055990   39.635411390   -3.902217452
    1.539996399   -3.141592654  -61.894539846   43.619717022   -4.002676355
    1.663196111   -3.141592654  -56.480829240   43.662702457   -4.306269951
    1.786395823   -3.141592654  -51.277588937   40.058960908   -4.185031944
    1.909595535   -3.141592654  -46.803558635   31.763872778   -3.413110890
    2.032795246   -3.141592654  -43.697914359   17.671174793   -1.788366887
    2.155994958   -3.141592654  -42.677963927   -1.734924140    0.527247284
    2.279194670   -3.141592654  -44.207076416  -23.222269951    3.460658783
    2.402394382   -3.141592654  -48.348733800  -43.538384102    6.357884495
    2.525594094   -3.141592654  -54.712679855  -58.679240806    9.389039690
    2.648793806   -3.141592654  -62.526234772  -66.826059753   12.101107728
    2.771993518   -3.141592654  -70.889465959  -67.871746008   14.515342048
    2.895193230   -3.141592654  -78.990400366  -62.787965816   16.552226627
    3.018392942   -3.141592654  -86.182385039  -53.564113933   18.051671870

   -3.141592654   -3.018392942  -89.501544477  -43.211067239   23.513764320
   -3.018392942   -3.018392942  -94.164104076  -32.403558543   21.869078729
   -2.895193230   -3.018392942  -97.493699228  -21.638169461   20.288953906
   -2.771993518   -3.018392942  -99.507459886  -11.233911656   19.444691094
   -2.648793806   -3.018392942 -100.283121007   -1.581580881   19.992545805
   -2.525594094   -3.018392942  -99.983132550    6.168009882   21.456285536
   -2.402394382   -3.018392942  -98.843047232   11.905122651   23.044253091
   -2.279194670   -3.018392942  -97.159802345   15.051271470   23.997333334
   -2.155994958   -3.018392942  -95.231846156   15.812188711   23.897488687
   -2.032795246   -3.018392942  -93.378586968   13.837101944   23.096534607
   -1.909595535   -3.018392942  -91.884826574   10.028115039   22.371105714
   -1.786395823   -3.018392942  -90.891396545    6.094630538   22.367998237
   -1.663196111   -3.018392942  -90.332567065    3.528197899   23.389119824
   -1.539996399   -3.018392942  -89.913183273    3.876422672   25.372115624
   -1.416796687   -3.018392942  -89.184849629    8.721083974   28.036255351
   -1.293596975   -3.018392942  -87.588531854   17.825374574   31.722155987
   -1.170397263   -3.018392942  -84.644562972   30.529656456   36.233412018
   -1.047197551   -3.018392942  -79.963435379   45.639437954   41.677893015
   -0.923997839   -3.018392942  -73.399919131   60.769596544   47.326110148
   -0.800798127   -3.018392942  -65.092739659   73.365416076   51.936669047
   -0.677598415   -3.018392942  -55.513097164   81.082295730   54.248304825
   -0.554398704   -3.018392942  -45.429636446   81.246604119   52.848433322
   -0.431198992   -3.018392942  -35.830396306   73.188273719   47.279850202
   -0.307999280   -3.018392942  -27.727624589   57.045991513   37.946011222
   -0.184799568   -3.018392942  -22.061029266   34.026376138   25.594786858
   -0.061599856   -3.018392942  -19.523540424    6.809831226   11.838497355
    0.061599856   -3.018392942  -20.435524724  -21.505123335   -1.548051760
